**************************************************************************

This file provides the results obtained by BaBar for the process
e+ e- --> K+ K- (gamma) using the ISR method near 10.58 GeV.
It contains:

(1) The cross section (nb) and form factor values for 159 CM energy intervals (GeV) from 0.985 to 5 GeV.
The cross section is bare (excluding vacuum polarization) and includes the emission of final state photons.
The form factor is dressed (including vacuum polarization) and does not include the emission of final state photons.

(2) The source of systematic uncertainties and their values in the defined energy intervals. All the values for each source should be taken as 100% correlated in all energy bins. The sources are independent and their contributions should be added quadratically.  

(3) The statistical covariance matrix of the cross section, in the same energy bins as given for the cross section values. This matrix comes from the unfolding of the measured pi+ pi- mass distribution, the corrections between data and MC obtained in larger bins, and the ISR luminosity using the mu+ mu- gamma (gamma) process.
The statistical covariance matrix of the form factor can be derived from the statistical covariance matrix of the cross section using the formula:
cov(|FF|^2)ij = cov(Xsec)ij * (|FF|^2)i / (Xsec)i * (|FF|^2)j / (Xsec)j ,
with i and j being the bin numbers.

**************************************************************************
          
        (1) CROSS SECTION and FORM FACTOR

Energy interval      Cross section	         |FF|^2
   (GeV)                (nb)         

 0.985000 : 0.990000   0.034043              74.8979    
 0.990000 : 0.995000   0.520231              24.1007    
 0.995000 : 1.000000   3.192171              49.6448    
 1.000000 : 1.001000   7.764837              80.4645    
 1.001000 : 1.002000   5.947790              55.4932    
 1.002000 : 1.003000   10.590196             89.5983    
 1.003000 : 1.004000   9.631461              74.35      
 1.004000 : 1.005000   13.943978             98.7423    
 1.005000 : 1.006000   20.339486             132.747    
 1.006000 : 1.007000   29.085800             175.677    
 1.007000 : 1.008000   30.135827             169.053    
 1.008000 : 1.009000   40.402239             211.153    
 1.009000 : 1.010000   52.323489             255.437    
 1.010000 : 1.011000   67.422385             308.129    
 1.011000 : 1.012000   104.990931            449.942    
 1.012000 : 1.013000   132.719585            533.981    
 1.013000 : 1.014000   182.323915            689.099    
 1.014000 : 1.015000   274.117277            973.303    
 1.015000 : 1.016000   444.483734            1482.62    
 1.016000 : 1.017000   695.802224            2184.88    
 1.017000 : 1.018000   1211.072232           3625.23    
 1.018000 : 1.019000   1815.482965           5404.37    
 1.019000 : 1.020000   2009.060129           6304.53    
 1.020000 : 1.021000   1510.643077           4926.18    
 1.021000 : 1.022000   949.834820            3038.81    
 1.022000 : 1.023000   675.077932            2062.04    
 1.023000 : 1.024000   455.078780            1321.09    
 1.024000 : 1.025000   363.976039            1006.27    
 1.025000 : 1.026000   278.696471            736.129    
 1.026000 : 1.027000   230.229385            582.711    
 1.027000 : 1.028000   171.829324            417.792    
 1.028000 : 1.029000   155.895753            364.917    
 1.029000 : 1.030000   133.723404            301.894    
 1.030000 : 1.031000   126.688120            276.281    
 1.031000 : 1.032000   101.379719            213.861    
 1.032000 : 1.033000   94.473745             193.013    
 1.033000 : 1.034000   78.977476             156.442    
 1.034000 : 1.035000   74.625343             143.465    
 1.035000 : 1.036000   65.204429             121.771    
 1.036000 : 1.037000   60.893121             110.563    
 1.037000 : 1.038000   64.814911             114.508    
 1.038000 : 1.039000   51.666020             88.8809    
 1.039000 : 1.040000   45.799478             76.7725    
 1.040000 : 1.045000   43.404662             67.6461    
 1.045000 : 1.050000   34.995776             48.7312    
 1.050000 : 1.055000   27.429883             34.5162    
 1.055000 : 1.060000   22.911984             26.2988    
 1.060000 : 1.065000   21.091216             22.258     
 1.065000 : 1.070000   19.219573             18.7755    
 1.070000 : 1.075000   16.654716             15.1501    
 1.075000 : 1.080000   16.673699             14.197     
 1.080000 : 1.085000   16.070664             12.8672    
 1.085000 : 1.090000   13.804179             10.4359    
 1.090000 : 1.095000   13.870008             9.9373     
 1.095000 : 1.100000   12.741526             8.68021    
 1.100000 : 1.120000   11.503552             7.01556    
 1.120000 : 1.140000   9.763161              5.11547    
 1.140000 : 1.160000   8.888187              4.11747    
